kappa,beta,wc,wm,J,Gamma,alpha,gamma,field,r_squared
4.744530020633787,32.03805458815652,26.863789733386916,165682.4755059718,-12672.989686898454,118.74469915296041,-183109.87892821297,-76314.95476374768,2850.0,0.504170988990674
4.747852524149077,10.884008393217446,26.760309234064213,70788.44320327447,8888.72013370085,-3054.1721898247524,-179969.76393932808,-231497.17885443877,2850.5,0.5042280428777419
4.682255983304325,-13.0365137073001,24.915908931690208,26392.629958943933,-4717.680159026125,707.0279547650917,17.64593452610988,-35494.016162180975,2851.0,0.5185060580250889
4.684279362709974,19.92531837895741,28.973236309870234,52654.0494665517,-8108.693593390736,2563.1353996094795,-153157.71310748256,-152286.12953818028,2851.5,0.5188281045004166
4.705408410270721,-22.862051409880667,37.13187438866185,13014.325838522236,-4471.131775497938,-1222.1578472999104,24249.137366421357,36007.5790963677,2852.0,0.5166408428418401
4.682853262291144,44.9961210791633,30.52469824973541,33478.5079408454,-6195.675729643112,49.6581944620794,-38063.27235092271,-23353.545317019147,2852.5,0.5184756512340015
1.86076035273782,33.751083409977824,-7.020650451137356,12167.08605921461,-1136.6575668861476,3360.5864600579425,-77256.7328717926,228265.9943551421,2853.0,0.5185147155332255
4.677545727086138,87.38126323993698,-36.62401128888637,72894.6237840784,3056.267206888201,-12931.032466022456,146351.5567312014,326861.20970641746,2853.5,0.5184585092193512
4.679123643812386,40.673138375771266,28.672122216481878,137955.12626714664,-12201.717454300257,400.57506905455296,-174459.21035371878,-119560.08802341967,2854.0,0.5185451650177451
4.681204731072251,14.998766581756662,26.421857127009158,42664.58385917483,-7306.0136794505015,3061.331358111496,-171542.73091069958,-171628.98920206426,2854.5,0.5183962295347488
4.682378351929427,35.28586531303174,31.44201854605463,44259.86275324377,-7245.488069545462,500.2111985944218,-50476.907195159285,-49419.1882028946,2855.0,0.5184882590597604
4.682244517800256,32.23396831427854,32.63475996305117,25843.0445569516,-5628.3306873754,433.2997766034097,-53324.061738855584,-3425.4670258823626,2855.5,0.5185894378060798
4.678483551295911,21.601873993232182,26.940247449292578,106168.25214776046,10842.712502729597,-2810.889761690401,-260915.21223853988,-260207.37870028062,2856.0,0.5184787168302571
4.676938560677935,9.836187128775034,24.217331567776984,20456.466150708962,-5170.424136842123,2742.878873524597,-99226.27760840632,-131286.46055024918,2856.5,0.518876574916532
4.6777515972957575,62.548417028597775,30.40683259447839,47252.69911068097,-8021.412906113831,1010.8508272284581,63264.64019521426,-272558.536372158,2857.0,0.51897512005613
1.8616834681040748,68.57390493615974,30.768718991968246,28135.799113957644,-5998.568801196188,236.064810742791,-58489.05683305077,-27764.983695059025,2857.5,0.5183907680621664
4.677598068814296,31.560062324424962,32.33969644986484,44598.28736416399,-7354.164428166985,571.2091426319574,-49432.38463532561,-48373.470547543926,2858.0,0.5189486803987786
4.676725774749873,10.920840186611583,15.133948173941516,71587.35655617391,-6400.231214314083,-4044.6697620668747,201200.61563739786,438706.16228172043,2858.5,0.5187991590473329
4.666172269231657,40.7471283573953,36.56756937336786,16128.508024446079,-5117.607245408047,1290.60509076787,-69142.62527197522,-15339.293467382855,2859.0,0.520367597326852
4.671363437844364,31.259785330776854,32.59606659763711,48668.29866519837,-7727.495883838881,664.1092627454947,-56411.507064338584,-54888.07236219747,2859.5,0.5195360205404318
4.675148503296781,40.99913602515662,25.991164053052557,45342.11926420073,-7042.474957954484,1107.568513343174,-138015.62506744862,-59054.35461336174,2860.0,0.5192131450220097
1.8604626731023515,32.00813314529,-6.811824286227814,15087.552957650552,-1111.8615395843872,3531.3680128873125,75366.31042277136,88434.1129038681,2860.5,0.5192095190017885
4.667864455257957,-5.2118590987182625,54.491498981372864,16095.655837483655,-6064.705714124864,2187.4789301095834,-43730.61854049512,-38102.06034279429,2861.0,0.5207984179472191
4.675067281546768,21.14351357776148,29.736466925204383,31735.72080936196,-5812.4242996307075,253.4991625310074,-28166.517052334817,-17220.27881528592,2861.5,0.5199611894113564
4.67157676938266,20.368775386083605,31.634415423566043,26648.130249422335,-5566.194044123416,558.2139591071601,-31094.68348496134,-24952.508842293406,2862.0,0.5203869419574056
4.668362354644272,44.56093428057348,26.709320975776457,60009.582555314955,8311.571777708223,-1348.8271395313973,-1804.916521785734,-272398.7207486911,2862.5,0.5203197202208711
4.6700525968102315,58.55233946522333,17.34310626233195,-607184.6069017837,-9980.611822150693,18264.83525904026,-789686.2315796458,-787668.2485990333,2863.0,0.5203202820846198
